"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2","Li_pCI_int","Li_jCI_int","Li_jCI","Li_pCI","Li_rmse","Li_jCI_slope","Li_pCI_slope","Li_slope_rmse","Li_slope_bias","Li_pSig","Li_jSig","Li_time","Li_lambda0","Li_lambda1","Li_lambda2"
0.99,1,0.986666666666667,0.923333333333333,0.0307194758208978,0.98,0.89,0.0306663157789507,-0.00140046484105408,0.95,0.94,30.7138504981995,1.53993877727043,0.219007291092665,0.0771479375463996,1,1,1,1,0.0343168365126476,1,1,0.0308921938578992,-0.00222557985695668,0.915,0.915,0.439896583557129,1.53993877727043,0.219007291092665,0.0771479375463996,0.99,1,0.95,0.923333333333333,0.0307194758208978,0.925,0.89,0.0306663157789507,-0.00140046484105408,0.95,0.94,0.226778507232666,1.53993877727043,0.219007291092665,0.0771479375463996,0.96,1,0.983333333333333,0.91,0.0335804437266318,0.975,0.885,0.0302381927368311,-0.00184405598574616,0.95,0.94,20.65989112854,20.5325170302725,4.38014582185331,5.14319583642664,0.97,1,0.98,0.93,0.032130784942932,0.97,0.91,0.0308135964380256,-0.00238573759641021,0.95,0.94,16.0888147354126,51.3312925756812,2.92009721456887,6.4289947955333,1,1,0.983333333333333,0.936666666666667,0.0309412060386181,0.975,0.905,0.0312148077318918,-0.00240698691868582,0.95,0.94,10.391188621521,2.05325170302725,0.292009721456887,0.102863916728533,0.82,0.92,0.713333333333333,0.553333333333333,0.030804143062822,0.61,0.42,0.0312148077318918,-0.00240698691868582,0.99,0.98,0.505069971084595,2.05325170302725,0.292009721456887,0.102863916728533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1,0.98,0.906666666666667,0.0378243234241664,0.97,0.885,0.0305094541714798,0.000805880662430709,0.935,0.93,31.1351656913757,0.0051145329109575,0.329351961725941,0.0746761574804785,1,1,1,1,0.0337137397786404,1,1,0.0307659092841443,0.00151711012989132,0.925,0.925,0.454257726669312,0.0051145329109575,0.329351961725941,0.0746761574804785,0.95,0.99,0.95,0.906666666666667,0.0378243234241664,0.93,0.885,0.0305094541714798,0.000805880662430709,0.935,0.93,0.24402904510498,0.0051145329109575,0.329351961725941,0.0746761574804785,0.95,0.99,0.976666666666667,0.903333333333333,0.0378560855027409,0.97,0.88,0.0306166988355349,0.000157209024153602,0.935,0.93,20.8473885059357,0.227312573820333,5.85514598623894,3.23596682415407,0.95,0.99,0.976666666666667,0.91,0.0381988675594417,0.97,0.89,0.0306718900671189,0.00101522168995003,0.93,0.93,16.1987664699554,0.3409688607305,14.6378649655974,4.97841049869857,0.95,1,0.983333333333333,0.913333333333333,0.0377294256018244,0.975,0.895,0.0304869639927663,0.00103276644107079,0.93,0.93,10.4244155883789,0.00909250295281333,0.585514598623895,0.0995682099739713,0.3,0.45,0.57,0.433333333333333,0.0447165461054322,0.63,0.5,0.0304869639927663,0.00103276644107079,0.96,0.945,0.498640298843384,0.00909250295281333,0.585514598623895,0.0995682099739713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.96,1,0.993333333333333,0.906666666666667,0.0404478085229619,0.99,0.88,0.0392572422422619,0.0109032059484048,0.935,0.93,31.6171405315399,2.18304828726865,0.0958873240310311,0.0964847896777785,1,1,1,1,0.0399420604464538,1,1,0.0398474113859346,0.0099070257021611,0.855,0.83,0.464121580123901,2.18304828726865,0.0958873240310311,0.0964847896777785,0.96,1,0.933333333333333,0.906666666666667,0.0404478085229619,0.9,0.88,0.0392572422422619,0.0109032059484048,0.935,0.93,0.237988233566284,2.18304828726865,0.0958873240310311,0.0964847896777785,0.99,1,0.996666666666667,0.916666666666667,0.0403764750935387,0.995,0.88,0.0411421864247118,0.0114623379950927,0.935,0.93,20.7726557254791,54.5762071817162,2.39718310077578,2.41211974194446,0.97,1,1,0.91,0.0400800010727314,1,0.88,0.0399334607055754,0.0100620588485905,0.935,0.93,16.1675803661346,109.152414363432,4.79436620155155,4.82423948388892,1,1,1,0.92,0.0388090936084628,1,0.88,0.038004867022438,0.0100768944079671,0.935,0.93,10.4119942188263,2.18304828726865,0.239718310077578,0.241211974194446,0.64,0.81,0.613333333333333,0.476666666666667,0.03996604647804,0.515,0.395,0.038004867022438,0.0100768944079671,0.98,0.965,0.497614860534668,2.18304828726865,0.239718310077578,0.241211974194446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.89,1,0.963333333333333,0.856666666666667,0.0419180227984183,0.945,0.84,0.0350803329538165,0.00448020057964182,0.935,0.93,33.1043200492859,2.09376025016091,0.102902711249116,0.258289386139778,1,1,0.996666666666667,0.996666666666667,0.0424670221120154,0.995,0.995,0.0357346458826333,0.00466062112098756,0.925,0.915,0.480029344558716,2.09376025016091,0.102902711249116,0.258289386139778,0.89,0.98,0.9,0.856666666666667,0.0419180227984183,0.86,0.84,0.0350803329538165,0.00448020057964182,0.935,0.935,0.240820407867432,2.09376025016091,0.102902711249116,0.258289386139778,0.92,1,0.963333333333333,0.863333333333333,0.041993086561702,0.945,0.835,0.0362053175949798,0.00437000767772271,0.935,0.935,21.2367205619812,52.3440062540228,2.57256778122789,9.68585198024166,0.92,1,0.976666666666667,0.876666666666667,0.041084568733775,0.965,0.855,0.0350061998435699,0.00460996626182928,0.935,0.93,21.0822281837463,52.3440062540228,6.43141945306973,12.9144693069889,0.93,1,0.973333333333333,0.88,0.0412056143547523,0.96,0.855,0.0347892358722818,0.00461016131602652,0.935,0.93,14.1762552261353,2.09376025016091,0.102902711249116,0.387434079209666,0.3,0.5,0.48,0.316666666666667,0.0498042550325328,0.47,0.325,0.0347892358722818,0.00461016131602652,0.97,0.96,0.533758640289307,2.09376025016091,0.102902711249116,0.387434079209666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1,0.943333333333333,0.873333333333333,0.0374317901363143,0.915,0.835,0.0358885802779233,-0.00370783507781496,0.95,0.93,32.6596329212189,1.03209267362855,0.0121842076568497,0.3731796186685,1,1,1,1,0.0378370044236954,1,1,0.0334583035497627,-0.0039760757684543,0.89,0.89,0.480855226516724,1.03209267362855,0.0121842076568497,0.3731796186685,0.95,0.95,0.893333333333333,0.873333333333333,0.0374317901363143,0.865,0.835,0.0358885802779233,-0.00370783507781496,0.95,0.945,0.242960929870605,1.03209267362855,0.0121842076568497,0.3731796186685,0.94,1,0.95,0.873333333333333,0.0380030325757052,0.925,0.84,0.0361808293742893,-0.00329873670041971,0.945,0.93,21.1208672523499,129.011584203568,0.105596466359364,14.3530622564808,0.95,1,0.95,0.876666666666667,0.0372903886511962,0.925,0.84,0.0357588558591333,-0.00380734111426329,0.94,0.93,20.831196308136,129.011584203568,0.406140255228323,18.658980933425,0.95,1,0.946666666666667,0.873333333333333,0.0371452335483047,0.92,0.835,0.0354649319587661,-0.00381794742388066,0.95,0.93,14.0605204105377,1.54813901044282,0.0182763114852745,0.55976942800275,0.73,0.83,0.643333333333333,0.493333333333333,0.0359483798567752,0.55,0.375,0.0354649319587661,-0.00381794742388066,0.985,0.98,0.5196373462677,1.54813901044282,0.0182763114852745,0.55976942800275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.98,1,0.99,0.913333333333333,0.0314774007738683,0.985,0.88,0.0305173352644469,-0.00171291831796959,0.94,0.925,32.1510629653931,0.932516249226465,0.205199876727466,0.0160996366057256,1,1,0.996666666666667,0.996666666666667,0.0343312653164761,0.995,0.995,0.030022534064832,-0.000935430296114553,0.645,0.57,0.458604574203491,0.932516249226465,0.205199876727466,0.0160996366057256,0.98,1,0.953333333333333,0.913333333333333,0.0314774007738683,0.93,0.88,0.0305173352644469,-0.00171291831796959,0.94,0.94,0.24226188659668,0.932516249226465,0.205199876727466,0.0160996366057256,0.97,1,0.993333333333333,0.906666666666667,0.0353010262638531,0.99,0.875,0.0303076264831929,-0.00176917800899731,0.94,0.925,21.1382455825806,2.33129062306616,5.47199671273243,0,0.99,1,0.99,0.916666666666667,0.0342609967582662,0.985,0.88,0.0308633015509949,-0.000568543428889954,0.94,0.925,20.8417372703552,13.987743738397,5.33519679491412,1.60996366057256,0.98,1,0.99,0.9,0.0312315679071855,0.985,0.86,0.030911739882531,-0.000578776304236899,0.94,0.93,14.0127427577972,2.33129062306616,0.355679786327608,0.042932364281935,0.02,0.11,0.373333333333333,0.263333333333333,0.0615790598134578,0.505,0.385,0.030911739882531,-0.000578776304236899,0.98,0.965,0.543211936950684,2.33129062306616,0.355679786327608,0.042932364281935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.84,1,0.976666666666667,0.9,0.0389761209115426,0.965,0.93,0.028718622170822,0.0049727941656369,0.94,0.935,32.8699831962585,1.44652040326814,0.231499480616649,0.173550519471308,1,1,1,1,0.0427969810956914,1,1,0.0281379885989968,0.00395059672000762,0.65,0.64,0.4754798412323,1.44652040326814,0.231499480616649,0.173550519471308,0.84,0.91,0.926666666666667,0.9,0.0389761209115426,0.935,0.93,0.028718622170822,0.0049727941656369,0.94,0.935,0.231045722961426,1.44652040326814,0.231499480616649,0.173550519471308,0.9,1,0.98,0.92,0.0398115506645508,0.97,0.93,0.0273962294671459,0.00497829135081505,0.935,0.93,21.0542004108429,31.3412754041431,7.71664935388831,8.67752597356541,0.9,1,0.98,0.91,0.0402800075226486,0.97,0.915,0.0282856731513857,0.00426889790522202,0.94,0.935,21.016453742981,48.2173467756048,11.5749740308325,8.67752597356541,0.85,1,0.98,0.893333333333333,0.0393891380960583,0.97,0.915,0.0289086530764632,0.00425145585881914,0.94,0.935,14.1028378009796,1.92869387102419,0.308665974155533,0.231400692628411,0.39,0.58,0.566666666666667,0.433333333333333,0.0398225280519304,0.56,0.455,0.0289086530764632,0.00425145585881914,0.985,0.98,0.535581827163696,1.92869387102419,0.308665974155533,0.231400692628411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.89,0.95,0.956666666666667,0.89,0.0393212334887181,0.96,0.89,0.0333907651233346,0.00223941192995049,0.93,0.925,32.5216269493103,2.11632407918499,0.506330759692731,0.295360576213974,1,1,1,0.993333333333333,0.0392743956052605,1,0.99,0.0300983541649239,0.0019940949762217,0.915,0.915,0.477846145629883,2.11632407918499,0.506330759692731,0.295360576213974,0.89,0.94,0.913333333333333,0.89,0.0393212334887181,0.9,0.89,0.0333907651233346,0.00223941192995049,0.93,0.93,0.244391202926636,2.11632407918499,0.506330759692731,0.295360576213974,0.88,1,0.973333333333333,0.91,0.0377537756906613,0.96,0.925,0.0304621826217099,0.00168433187665297,0.93,0.925,21.3396887779236,52.9081019796248,3.37553839795154,11.076021608024,0.89,1,0.976666666666667,0.906666666666667,0.038015986408118,0.965,0.915,0.0301969694175982,0.00156759011739294,0.93,0.925,21.1264564990997,52.9081019796248,3.37553839795154,11.076021608024,0.89,0.99,0.97,0.886666666666667,0.039045659244549,0.96,0.885,0.033107078026797,0.00162500467016886,0.93,0.925,14.2260658740997,2.11632407918499,0.675107679590308,0.295360576213974,0.47,0.69,0.656666666666667,0.496666666666667,0.0397998029292736,0.64,0.51,0.033107078026797,0.00162500467016886,0.96,0.935,0.553622484207153,2.11632407918499,0.675107679590308,0.295360576213974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.97,1,0.986666666666667,0.903333333333333,0.0350749834272108,0.98,0.87,0.0343717466431995,-0.00229888764391517,0.935,0.93,32.8200960159302,1.47034789443313,0.0710897685034875,0.422850906205221,1,1,1,1,0.0360109000256682,1,1,0.0326935776606362,-0.00197370466618045,0.92,0.92,0.492051362991333,1.47034789443313,0.0710897685034875,0.422850906205221,0.97,1,0.953333333333333,0.903333333333333,0.0350749834272108,0.93,0.87,0.0343717466431995,-0.00229888764391517,0.935,0.93,0.237743139266968,1.47034789443313,0.0710897685034875,0.422850906205221,1,1,0.99,0.896666666666667,0.0355312016537055,0.985,0.845,0.0347931288923893,-0.00180172216646044,0.935,0.93,21.4080200195312,49.0115964811045,2.36965895011625,11.2760241654726,1,1,0.99,0.906666666666667,0.0352980919011735,0.985,0.86,0.0341397689680776,-0.00186794195859303,0.93,0.93,21.1321310997009,49.0115964811045,2.36965895011625,18.3235392688929,0.98,1,0.986666666666667,0.906666666666667,0.0347582921471958,0.98,0.87,0.0341308198353258,-0.00185955285455647,0.935,0.93,14.3110797405243,1.96046385924418,0.09478635800465,0.563801208273629,0.15,0.31,0.406666666666667,0.276666666666667,0.0579565695714569,0.455,0.34,0.0341308198353258,-0.00185955285455647,0.975,0.975,0.52173376083374,1.96046385924418,0.09478635800465,0.563801208273629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.84,0.97,0.966666666666667,0.873333333333333,0.0453342953211754,0.965,0.89,0.0358021040585005,0.00881957778205981,0.93,0.93,32.7406275272369,0.512266552914652,0.624894376503259,0.302850927916983,1,1,1,0.986666666666667,0.0485091852298413,1,0.98,0.0368755271794796,0.00830421333189941,0.925,0.92,0.472871780395508,0.512266552914652,0.624894376503259,0.302850927916983,0.84,0.88,0.886666666666667,0.873333333333333,0.0453342953211754,0.89,0.89,0.0358021040585005,0.00881957778205981,0.93,0.93,0.245055437088013,0.512266552914652,0.624894376503259,0.302850927916983,0.73,0.96,0.963333333333333,0.85,0.04653039179488,0.965,0.91,0.0372041448762334,0.00890727874323675,0.93,0.93,21.3145632743835,113.837011758812,8.0114663654264,10.0950309305661,0.71,0.95,0.96,0.83,0.0482377633419004,0.965,0.89,0.0382398770891001,0.00826742449109193,0.93,0.93,20.8881249427795,170.755517638217,12.0171995481396,13.4600412407548,0.85,0.97,0.973333333333333,0.883333333333333,0.045995993345387,0.975,0.9,0.0370805091161861,0.00826609434130002,0.93,0.93,14.1756672859192,0.910696094070493,0.833192502004346,0.403801237222644,0.44,0.68,0.506666666666667,0.336666666666667,0.0460948349087742,0.42,0.285,0.0370805091161861,0.00826609434130002,0.99,0.98,0.519746541976929,0.910696094070493,0.833192502004346,0.403801237222644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
