"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2","Li_pCI_int","Li_jCI_int","Li_jCI","Li_pCI","Li_rmse","Li_jCI_slope","Li_pCI_slope","Li_slope_rmse","Li_slope_bias","Li_pSig","Li_jSig","Li_time","Li_lambda0","Li_lambda1","Li_lambda2"
0.91,0.98,0.96,0.833333333333333,0.0457205427074554,0.95,0.795,0.0370008161514869,-0.00742797367009764,0.935,0.935,17.8954317569733,3.87512742311788,0.719864943926443,0,1,1,0.993333333333333,0.983333333333333,0.0504777716563413,0.99,0.975,0.0410803835386246,-0.00692788440015059,0.92,0.915,0.263626098632812,3.87512742311788,0.719864943926443,0,0.91,0.97,0.896666666666667,0.833333333333333,0.0457205427074554,0.86,0.795,0.0370008161514869,-0.00742797367009764,0.935,0.935,0.124782085418701,3.87512742311788,0.719864943926443,0,1,1,1,1,0.0452707984810347,1,1,0.0364658533230827,-0.00687105830275186,0.83,0.74,9.80888605117798,51.6683656415718,9.59819925235257,0,1,1,1,1,0.0484068604429608,1,1,0.0400350251315812,-0.00608566389824897,0.805,0.7,9.28432631492615,129.170914103929,31.9939975078419,3.75174293119545,0.94,1,0.97,0.886666666666667,0.0470667354099056,0.955,0.86,0.0380848342592757,-0.00612031171666946,0.935,0.93,6.57313799858093,8.39610941675542,3.19939975078419,0.288595610091957,0,0,0.02,0.01,0.0459974660316574,0.03,0.015,0.0380848342592757,-0.00612031171666946,1,1,0.365002870559692,8.39610941675542,3.19939975078419,0.288595610091957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.88,1,0.973333333333333,0.863333333333333,0.0451123604459554,0.96,0.855,0.0359679267779838,-0.000156816519092148,0.945,0.94,17.6665804386139,2.41196689449669,0.341901062165208,0.177972601814787,1,1,1,0.966666666666667,0.058886278856728,1,0.95,0.0439584809045185,-0.000251061468251591,0.93,0.93,0.246005535125732,2.41196689449669,0.341901062165208,0.177972601814787,0.88,0.89,0.926666666666667,0.863333333333333,0.0451123604459554,0.945,0.855,0.0359679267779838,-0.000156816519092148,0.945,0.94,0.120315790176392,2.41196689449669,0.341901062165208,0.177972601814787,1,1,1,1,0.0450215727853767,1,1,0.0365421060532271,-2.80909169385052e-05,0.79,0.725,9.65627479553223,80.3988964832229,4.55868082886945,2.37296802419716,1,1,1,1,0.0481228749514947,1,1,0.0414234475120713,0.000224781961005017,0.745,0.62,9.1982696056366,200.997241208057,17.0950531082604,5.93242006049291,0.94,1,1,0.93,0.0476784665254587,1,0.925,0.040644477368362,0.000210208208015701,0.935,0.93,6.42494249343872,8.03988964832229,1.13967020721736,0.593242006049291,0,0.01,0.01,0.00666666666666667,0.0558226763323449,0.01,0.01,0.040644477368362,0.000210208208015701,1,1,0.370945453643799,8.03988964832229,1.13967020721736,0.593242006049291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.93,1,0.956666666666667,0.893333333333333,0.0388415872544893,0.935,0.875,0.0303874009844412,-0.000376759389258155,0.93,0.93,17.8718800544739,3.85069530182534,0.0922986345213581,0.733950209905194,1,1,0.98,0.943333333333333,0.051782801697607,0.97,0.915,0.0429039224830719,-0.00119817622465652,0.915,0.915,0.256543874740601,3.85069530182534,0.0922986345213581,0.733950209905194,0.93,0.93,0.916666666666667,0.893333333333333,0.0388415872544893,0.91,0.875,0.0303874009844412,-0.000376759389258155,0.93,0.93,0.11992335319519,3.85069530182534,0.0922986345213581,0.733950209905194,1,1,1,1,0.0370864997076856,1,1,0.0292303804786333,-0.00243617568303013,0.8,0.73,10.0152764320374,83.4317315395491,3.07662115071193,16.3100046645599,1,1,1,1,0.047529515060795,1,1,0.040980035609725,-0.0017813708643041,0.735,0.595,9.34542679786682,128.356510060845,7.69155287677984,24.4650069968398,0.9,1,0.936666666666667,0.84,0.0491637142965529,0.905,0.81,0.0423302258222019,-0.0017417317051526,0.95,0.925,6.53190112113953,12.8356510060845,0.199980374796276,1.63100046645599,0,0,0.00333333333333333,0.00333333333333333,0.0492139262872574,0.005,0.005,0.0423302258222019,-0.0017417317051526,0.995,0.99,0.382713556289673,12.8356510060845,0.199980374796276,1.63100046645599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.87,1,0.983333333333333,0.9,0.0480642460865175,0.975,0.915,0.0414326318497015,-0.00175322221854693,0.95,0.935,21.280394077301,0.97883068357986,0.0257685568376146,0.212447911101841,1,1,0.993333333333333,0.993333333333333,0.0574568934379479,0.99,0.99,0.0414807222108025,-0.0020824627966924,0.925,0.92,0.265898704528809,0.97883068357986,0.0257685568376146,0.212447911101841,0.87,0.87,0.92,0.9,0.0480642460865175,0.945,0.915,0.0414326318497015,-0.00175322221854693,0.95,0.94,0.123353004455566,0.97883068357986,0.0257685568376146,0.212447911101841,1,1,1,1,0.0513951610759745,1,1,0.0418386201493136,-0.000240926296644306,0.81,0.72,11.8047063350677,9.7883068357986,0.644213920940366,2.65559888877302,1,1,1,1,0.0533597551786687,1,1,0.0429255579102552,-0.00121683234643813,0.77,0.665,11.8477940559387,39.1532273431944,1.03074227350459,21.2447911101841,0.88,1,1,0.953333333333333,0.0523453485762392,1,0.99,0.0424036781483563,-0.00124980324256896,0.93,0.93,8.27831768989563,1.95766136715972,0.0515371136752293,1.06223955550921,0,0,0.0166666666666667,0.01,0.0556243885021352,0.025,0.015,0.0424036781483563,-0.00124980324256896,1,1,0.38746166229248,1.95766136715972,0.0515371136752293,1.06223955550921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92,1,0.97,0.863333333333333,0.0475665005771976,0.955,0.835,0.0420694709002227,-0.0127200376505843,0.935,0.935,20.9966287612915,3.83433411184922,1.26045724494512,0.156251238873508,1,1,1,0.993333333333333,0.0497759937548943,1,0.99,0.0451261650644154,-0.0117713513938313,0.925,0.92,0.261471748352051,3.83433411184922,1.26045724494512,0.156251238873508,0.92,0.95,0.906666666666667,0.863333333333333,0.0475665005771976,0.885,0.835,0.0420694709002227,-0.0127200376505843,0.935,0.935,0.128708362579346,3.83433411184922,1.26045724494512,0.156251238873508,1,1,1,1,0.0475250540217696,1,1,0.042529453492736,-0.0130836105505447,0.8,0.7,11.7672998905182,95.8583527962304,6.30228622472559,1.50241575839911,1,1,1,1,0.0543701812854899,1,1,0.0482093692692476,-0.011903821533363,0.755,0.65,11.7673816680908,479.291763981152,31.511431123628,3.00483151679823,0.95,1,0.99,0.913333333333333,0.0498421757595431,0.985,0.895,0.0469559801548594,-0.0118643655898616,0.93,0.925,8.24155354499817,9.58583527962304,4.09648604607164,0.600966303359646,0.02,0.03,0.0166666666666667,0.0133333333333333,0.0514212277749242,0.01,0.01,0.0469559801548594,-0.0118643655898616,1,1,0.390742063522339,9.58583527962304,4.09648604607164,0.600966303359646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,1,0.96,0.873333333333333,0.0443938378214837,0.94,0.86,0.037799973637525,-0.00977308519623475,0.945,0.94,21.3053069114685,4.21607381933323,1.13412898894284,0.682318967530882,1,1,0.993333333333333,0.956666666666667,0.0502672538266324,0.99,0.935,0.0370844341462717,-0.00566414885258495,0.94,0.935,0.276068210601807,4.21607381933323,1.13412898894284,0.682318967530882,0.9,0.9,0.896666666666667,0.873333333333333,0.0443938378214837,0.895,0.86,0.037799973637525,-0.00977308519623475,0.945,0.94,0.122702836990356,4.21607381933323,1.13412898894284,0.682318967530882,1,1,1,1,0.045895807346952,1,1,0.0361780330778436,-0.010354833222426,0.795,0.695,11.8338804244995,42.1607381933323,11.3412898894284,10.2347845129632,1,1,1,1,0.0477674644819137,1,1,0.037511351401852,-0.00705017556357503,0.74,0.53,11.9181990623474,105.401845483331,28.3532247235709,17.0579741882721,0.89,1,0.963333333333333,0.906666666666667,0.0474562299045208,0.945,0.915,0.0409441669256841,-0.00703805383484728,0.945,0.94,8.30765795707703,13.702239912833,5.67064494471418,1.36463793506176,0.04,0.04,0.0266666666666667,0.0166666666666667,0.0478434029039246,0.02,0.005,0.0409441669256841,-0.00703805383484728,1,1,0.377920389175415,13.702239912833,5.67064494471418,1.36463793506176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.96,1,0.94,0.866666666666667,0.0518800205775501,0.91,0.82,0.0504614929796902,0.00521986368282047,0.98,0.95,20.8878061771393,3.21471559728841,0.980304927823968,0.220000919978564,1,1,0.976666666666667,0.91,0.0638876816503173,0.965,0.865,0.0615474618136914,0.00121138742649577,0.925,0.925,0.272997856140137,3.21471559728841,0.980304927823968,0.220000919978564,0.96,1,0.903333333333333,0.866666666666667,0.0518800205775501,0.855,0.82,0.0504614929796902,0.00521986368282047,0.98,0.96,0.125699520111084,3.21471559728841,0.980304927823968,0.220000919978564,1,1,1,1,0.057931706726856,1,1,0.0563278058029981,0.00568159969704917,0.725,0.425,11.8827223777771,32.1471559728841,9.80304927823968,1.43000597986067,1,1,1,1,0.0601925002956215,1,1,0.060196292956204,0.00245774858947342,0.69,0.385,11.8414084911346,123.642907588016,24.5076231955992,13.7500574986603,1,1,0.96,0.9,0.0544177777351684,0.94,0.85,0.0545955409062997,0.0024913107605877,0.96,0.93,8.34274792671204,12.3642907588016,3.26768309274656,0.55000229994641,0.04,0.04,0.0333333333333333,0.03,0.0550915181749653,0.03,0.025,0.0545955409062997,0.0024913107605877,1,1,0.395724773406982,12.3642907588016,3.26768309274656,0.55000229994641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.81,0.94,0.92,0.776666666666667,0.0597735759802735,0.91,0.76,0.0508861918192836,-0.00443828511443277,0.945,0.94,21.5445392131805,3.19120731432243,0.211400425277878,0.246738366851823,0.99,1,0.966666666666667,0.883333333333333,0.0683165126763002,0.95,0.83,0.0572679785101023,-0.00447315544977732,0.935,0.93,0.243925094604492,3.19120731432243,0.211400425277878,0.246738366851823,0.81,0.85,0.846666666666667,0.776666666666667,0.0597735759802735,0.845,0.76,0.0508861918192836,-0.00443828511443277,0.945,0.94,0.118997812271118,3.19120731432243,0.211400425277878,0.246738366851823,1,1,1,1,0.0619419271716237,1,1,0.0544079446692693,-0.00379526846042751,0.79,0.74,11.8780875205994,122.738742858555,3.43525691076552,6.16845917129556,1,1,1,1,0.0688018410353701,1,1,0.0563344367946873,-0.00439778330986343,0.755,0.64,11.5834367275238,613.693714292775,10.5700212638939,12.3369183425911,0.71,0.93,0.916666666666667,0.753333333333333,0.0630163311208524,0.91,0.775,0.051744371840467,-0.00449631404533277,0.94,0.935,8.09916591644287,12.2738742858555,1.32125265798674,1.54211479282389,0.01,0.02,0.01,0.00666666666666667,0.070704480078919,0.005,0.005,0.051744371840467,-0.00449631404533277,1,1,0.402669429779053,12.2738742858555,1.32125265798674,1.54211479282389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1,0.97,0.86,0.0436808463722959,0.955,0.815,0.0400563686978628,0.00679582449125245,0.94,0.93,21.424556016922,3.59169707655756,0.265970769230226,0.641166215941658,1,1,1,0.99,0.0531153051975626,1,0.985,0.0408517421612152,0.00682298972116234,0.93,0.925,0.257329940795898,3.59169707655756,0.265970769230226,0.641166215941658,0.95,1,0.926666666666667,0.86,0.0436808463722959,0.89,0.815,0.0400563686978628,0.00679582449125245,0.94,0.93,0.119359016418457,3.59169707655756,0.265970769230226,0.641166215941658,1,1,1,1,0.0455454744076397,1,1,0.0412395508594402,0.00686136737367201,0.595,0.39,11.8779406547546,39.9077452950839,7.38807692306184,14.2481381320368,1,1,1,1,0.0490143045636768,1,1,0.0420025205699407,0.00662717290265578,0.57,0.34,12.0491695404053,99.7693632377099,18.4701923076546,17.810172665046,0.92,1,0.98,0.903333333333333,0.047273603954072,0.97,0.895,0.0425970079338799,0.00663880020028336,0.935,0.93,8.40623188018799,9.97693632377099,0.738807692306184,1.7810172665046,0,0,0.01,0.00333333333333333,0.0478844223589507,0.015,0.005,0.0425970079338799,0.00663880020028336,1,1,0.377611398696899,9.97693632377099,0.738807692306184,1.7810172665046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.93,1,0.976666666666667,0.923333333333333,0.0447859512718447,0.965,0.92,0.0379156955582034,-0.00671134097273355,0.94,0.935,21.2962417602539,3.45608667041448,1.83434392177068,0.253307602317276,1,1,1,1,0.0463120526594306,1,1,0.0403975785808179,-0.0122306974319979,0.25,0.215,0.270504474639893,3.45608667041448,1.83434392177068,0.253307602317276,0.93,0.93,0.943333333333333,0.923333333333333,0.0447859512718447,0.95,0.92,0.0379156955582034,-0.00671134097273355,0.94,0.935,0.124447584152222,3.45608667041448,1.83434392177068,0.253307602317276,1,1,1,1,0.042457430839598,1,1,0.0336062154505914,-0.0066121283124409,0.69,0.44,11.8285195827484,53.1705641602228,7.05516892988724,1.64649941506229,1,1,1,1,0.0445656636322793,1,1,0.0386081252086586,-0.0104373759873879,0.65,0.385,12.189512014389,265.852820801114,14.1103378597745,8.23249707531147,0.94,1,1,0.95,0.0471235077745659,1,0.955,0.0426217594075423,-0.0104269083137489,0.935,0.93,8.14206075668335,13.2926410400557,5.29137669741543,0.823249707531147,0,0,0.01,0.00666666666666667,0.047496010087083,0.015,0.01,0.0426217594075423,-0.0104269083137489,0.995,0.995,0.371844053268433,13.2926410400557,5.29137669741543,0.823249707531147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
