"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2"
0.95,1,0.993333333333333,0.883333333333333,0.0384841284860055,0.99,0.85,0.0373440975299828,0.0109758619412329,0.92,0.92,41.9211673736572,12.2970455619412,9.75918314237254,0.740554090041539,1,1,1,1,0.0373529280407837,1,1,0.0344374142115465,0.0100400385895299,0.89,0.85,0.364063501358032,12.2970455619412,9.75918314237254,0.740554090041539,0.95,0.98,0.896666666666667,0.883333333333333,0.0384841284860055,0.855,0.85,0.0373440975299828,0.0109758619412329,0.92,0.92,0.291157007217407,12.2970455619412,9.75918314237254,0.740554090041539,0,0,0,0,1.76228964555042,0,0,0.669937317106723,-0.359785493220406,1,1,28.8257067203522,307426139.048531,243979578.559313,185138522.510385,0,0,0,0,1.90844459900908,0,0,0.781816264181745,-0.465485198869395,1,1,22.7555441856384,307426139.048531,243979578.559313,185138522.510385,0.95,0.99,0.99,0.88,0.0401865109617341,0.99,0.845,0.0394150688119798,0.0111273665336316,0.92,0.92,32.7018136978149,30.7426139048531,31.7173452127108,2.406800792635,0.01,0.03,0.0233333333333333,0.01,0.0406977887031563,0.02,0.01,0.0394150688119798,0.0111273665336316,1,1,0.379841327667236,30.7426139048531,31.7173452127108,2.406800792635
1,1,0.94,0.916666666666667,0.031238685384731,0.91,0.875,0.0300409097398277,0.0122581000654438,0.935,0.93,41.7667682170868,19.2850129721694,7.52021466302484,5.51316821976556,1,1,1,1,0.0313931979486911,1,1,0.0300751876283362,0.00793567206919983,0.915,0.905,0.324132680892944,19.2850129721694,7.52021466302484,5.51316821976556,1,1,0.916666666666667,0.916666666666667,0.031238685384731,0.875,0.875,0.0300409097398277,0.0122581000654438,0.935,0.93,0.304779291152954,19.2850129721694,7.52021466302484,5.51316821976556,0,0,0,0,1.79105441859351,0,0,0.616694610766887,-0.312368147508755,1,1,28.6191928386688,385700259.443388,200539057.680662,220526728.790622,0,0,0,0,1.91099647769563,0,0,0.692334802272734,-0.387176417785366,1,1,23.4816792011261,385700259.443388,200539057.680662,220526728.790622,0.87,1,0.956666666666667,0.836666666666667,0.0336063237603556,0.935,0.82,0.0315613581056561,0.00900301966217548,0.94,0.93,32.6057677268982,38.5700259443388,20.0539057680662,4.41053457581245,0.03,0.04,0.03,0.0233333333333333,0.0328745749682236,0.025,0.02,0.0315613581056561,0.00900301966217548,1,1,0.384378671646118,38.5700259443388,20.0539057680662,4.41053457581245
0.98,1,0.986666666666667,0.93,0.0323120111096778,0.98,0.905,0.0251520054405806,-0.0111183737580344,0.935,0.93,41.8292400836945,5.15925370668122,10.5321385052353,4.65896615539088,1,1,1,1,0.036107906938376,1,1,0.0234901400047055,-0.0142549993984326,0.915,0.88,0.356318712234497,5.15925370668122,10.5321385052353,4.65896615539088,0.98,1,0.963333333333333,0.93,0.0323120111096778,0.945,0.905,0.0251520054405806,-0.0111183737580344,0.935,0.935,0.294476747512817,5.15925370668122,10.5321385052353,4.65896615539088,0,0,0,0,1.81076353584519,0,0,0.747051691783357,-0.436470669023617,1,1,29.1665868759155,198432834.872355,263303462.630882,232948307.769544,0,0,0,0,1.93247669138836,0,0,0.84343597184995,-0.533044791977657,1,1,23.3179140090942,198432834.872355,263303462.630882,232948307.769544,0.96,1,0.993333333333333,0.906666666666667,0.0337659024920092,0.99,0.88,0.0271504954030594,-0.0132467423691687,0.93,0.925,32.6432847976685,12.898134266703,26.3303462630882,8.73556154135789,0.02,0.04,0.06,0.0433333333333333,0.0342552652050175,0.07,0.055,0.0271504954030594,-0.0132467423691687,0.995,0.995,0.393541812896729,12.898134266703,26.3303462630882,8.73556154135789
0.94,1,0.93,0.856666666666667,0.0382411185742988,0.895,0.815,0.040559974898083,-0.00450845399293276,0.925,0.925,41.4268596172333,13.2041603757697,6.8585786172382,2.51418650801099,1,1,1,1,0.0457020551347408,1,1,0.0411948780783251,-0.00461208676035842,0.895,0.85,0.371629476547241,13.2041603757697,6.8585786172382,2.51418650801099,0.94,0.95,0.87,0.856666666666667,0.0382411185742988,0.83,0.815,0.040559974898083,-0.00450845399293276,0.925,0.925,0.286460399627686,13.2041603757697,6.8585786172382,2.51418650801099,0,0,0,0,2.0101821802783,0,0,0.990780827538154,-0.581430941443281,1,1,28.9425828456879,264083207.515395,274343144.689528,251418650.801099,0,0,0,0,2.10380748030976,0,0,1.08763520842356,-0.689193665579155,1,1,23.1239864826202,264083207.515395,274343144.689528,251418650.801099,0.9,1,0.926666666666667,0.833333333333333,0.0384838866521949,0.89,0.8,0.0405560397185963,-0.00432056864406669,0.925,0.92,32.9135615825653,34.3308169770013,20.5757358517146,12.5709325400549,0.02,0.05,0.06,0.03,0.0393059862161647,0.065,0.035,0.0405560397185963,-0.00432056864406669,0.995,0.995,0.390411615371704,34.3308169770013,20.5757358517146,12.5709325400549
0.97,1,0.986666666666667,0.946666666666667,0.026981126984905,0.98,0.935,0.0243605503662804,0.00776313943130385,0.955,0.925,38.9359295368195,9.32840445353678,4.7275819445798,0,1,1,1,1,0.03167012583113,1,1,0.0245866128595838,0.00674893877098218,0.92,0.915,0.307722806930542,9.32840445353678,4.7275819445798,0,0.97,1,0.956666666666667,0.946666666666667,0.026981126984905,0.935,0.935,0.0243605503662804,0.00776313943130385,0.955,0.95,0.263006210327148,9.32840445353678,4.7275819445798,0,0,0,0,0,1.85224610792309,0,0,0.750880753400314,-0.436732355352641,1,1,29.3888006210327,233210111.33842,181830074.791531,203879914.878604,0,0,0,0,1.9921736153639,0,0,0.851829245287047,-0.532093786262449,1,1,23.0375134944916,233210111.33842,181830074.791531,203879914.878604,0.97,1,0.993333333333333,0.97,0.0278313135556754,0.99,0.97,0.0268643268136089,0.0074881511801318,0.955,0.935,31.4013860225677,23.321011133842,11.8189548614495,5.0969978719651,0.02,0.03,0.03,0.0166666666666667,0.0333486904641002,0.03,0.015,0.0268643268136089,0.0074881511801318,1,1,0.366312265396118,23.321011133842,11.8189548614495,5.0969978719651
0.93,1,0.99,0.866666666666667,0.0369467521137883,0.985,0.835,0.0365569110964813,-0.00013007117960709,0.925,0.92,39.4578268527985,15.1615879246491,11.0641292632701,6.44869217714667,1,1,1,1,0.0370158612177444,1,1,0.0352117597823643,-0.000107231813474808,0.91,0.865,0.341723918914795,15.1615879246491,11.0641292632701,6.44869217714667,0.93,0.93,0.916666666666667,0.866666666666667,0.0369467521137883,0.91,0.835,0.0365569110964813,-0.00013007117960709,0.925,0.92,0.285200595855713,15.1615879246491,11.0641292632701,6.44869217714667,0,0,0,0,1.87262424197653,0,0,0.806350491549993,-0.46929550363945,1,1,29.4936060905457,303231758.492983,295043447.020537,257947687.085867,0,0,0,0,1.97373872288156,0,0,0.878708742070677,-0.545831315923324,1,1,22.9105010032654,303231758.492983,295043447.020537,257947687.085867,0.94,1,0.96,0.85,0.0374331623929863,0.94,0.805,0.0371336073541651,0.000748347265894429,0.92,0.915,31.5040204524994,30.3231758492983,19.1778240563349,6.44869217714667,0.05,0.06,0.0433333333333333,0.0366666666666667,0.036955053182811,0.035,0.03,0.0371336073541651,0.000748347265894429,0.99,0.99,0.359751462936401,30.3231758492983,19.1778240563349,6.44869217714667
0.98,1,0.95,0.9,0.0331395643814278,0.925,0.86,0.033180429332629,-0.00750980904534339,0.93,0.925,39.6035127639771,13.7958077198661,11.0600394975545,5.60755740131058,1,1,1,1,0.038665432107044,1,1,0.03272419470697,-0.0111623238504275,0.92,0.915,0.363873481750488,13.7958077198661,11.0600394975545,5.60755740131058,0.98,1,0.923333333333333,0.9,0.0331395643814278,0.885,0.86,0.033180429332629,-0.00750980904534339,0.93,0.93,0.276828050613403,13.7958077198661,11.0600394975545,5.60755740131058,0,0,0.00333333333333333,0.00333333333333333,1.72360079263493,0.005,0.005,0.634610699145706,-0.341487932596744,1,1,29.4445769786835,275916154.397322,294934386.601452,224302296.052423,0,0,0,0,1.8592135712323,0,0,0.734084731135202,-0.428806401138861,1,1,23.1738860607147,275916154.397322,294934386.601452,224302296.052423,0.98,1,0.94,0.893333333333333,0.0342934940890093,0.91,0.85,0.0340574959935311,-0.00974481104979552,0.93,0.92,31.1421453952789,27.5916154397322,29.4934386601452,11.2151148026212,0.02,0.05,0.0633333333333333,0.0333333333333333,0.0367372354939034,0.07,0.04,0.0340574959935311,-0.00974481104979552,1,0.995,0.358284950256348,27.5916154397322,29.4934386601452,11.2151148026212
1,1,0.96,0.913333333333333,0.0264488021707984,0.94,0.87,0.026238246080301,0.00221246309074653,0.935,0.93,39.8004574775696,20.4953532541591,0.251407975433886,11.3772192085926,1,1,1,1,0.0296695439115953,1,1,0.0279109610736959,0.00294439977456584,0.915,0.9,0.338113307952881,20.4953532541591,0.251407975433886,11.3772192085926,1,1,0.93,0.913333333333333,0.0264488021707984,0.895,0.87,0.026238246080301,0.00221246309074653,0.935,0.935,0.273386478424072,20.4953532541591,0.251407975433886,11.3772192085926,0,0,0,0,1.77709586953922,0,0,0.679884633405502,-0.390293988580734,1,1,29.2971668243408,409907065.083181,100563190.173554,303392512.229136,0,0,0,0,1.92170893139336,0,0,0.791521295059788,-0.496758607013498,0.995,0.995,23.4489963054657,409907065.083181,100563190.173554,303392512.229136,1,1,0.946666666666667,0.91,0.0283990257512542,0.92,0.865,0.0293355054639974,0.00404636267245261,0.935,0.93,31.615983247757,40.9907065083181,0.502815950867771,15.1696256114568,0.05,0.07,0.0366666666666667,0.0266666666666667,0.0282661699829058,0.02,0.015,0.0293355054639974,0.00404636267245261,0.99,0.99,0.344845533370972,40.9907065083181,0.502815950867771,15.1696256114568
0.9,1,0.963333333333333,0.876666666666667,0.0361592088685663,0.945,0.865,0.0306668997924413,-0.000115330849465832,0.92,0.92,46.1919867992401,24.2066102427743,5.41972548803802,9.79095742197388,1,1,1,1,0.0345907464919797,1,1,0.0304131648046418,0.00213204167892213,0.65,0.4,0.394639492034912,24.2066102427743,5.41972548803802,9.79095742197388,0.9,0.9,0.886666666666667,0.876666666666667,0.0361592088685663,0.88,0.865,0.0306668997924413,-0.000115330849465832,0.92,0.92,0.305558919906616,24.2066102427743,5.41972548803802,9.79095742197388,0,0,0,0,1.86025139236268,0,0,0.852224848302288,-0.476240057159424,1,1,34.2501108646393,372409388.350373,216789019.521521,261092197.919303,0,0,0,0,1.98859292869139,0,0,0.967211858594489,-0.577182943234448,1,1,27.1992125511169,372409388.350373,216789019.521521,261092197.919303,0.9,0.99,0.936666666666667,0.88,0.037551442389112,0.91,0.87,0.0316321726531116,0.00311597190637508,0.92,0.92,35.0471506118774,48.4132204855485,10.839450976076,13.0546098959652,0.01,0.03,0.0266666666666667,0.0166666666666667,0.037551721877323,0.025,0.02,0.0316321726531116,0.00311597190637508,1,1,0.3741614818573,48.4132204855485,10.839450976076,13.0546098959652
0.95,1,1,0.89,0.0394583635514034,1,0.86,0.0392322851990712,0.0136164273598031,0.93,0.925,45.9701247215271,11.891527851537,0.0456521069109512,4.30839643946275,1,1,1,1,0.0429386744676269,1,1,0.0349179936555781,0.0162594607262262,0.915,0.905,0.399440765380859,11.891527851537,0.0456521069109512,4.30839643946275,0.95,0.95,0.903333333333333,0.89,0.0394583635514034,0.88,0.86,0.0392322851990712,0.0136164273598031,0.93,0.925,0.299605369567871,11.891527851537,0.0456521069109512,4.30839643946275,0,0,0,0,1.78472948921721,0,0,0.596074444113878,-0.278324769960541,1,1,33.0056388378143,297288196.288425,114130267.277378,215419821.973137,0,0,0,0,1.90160702649928,0,0,0.659670100785518,-0.344006994865889,1,1,27.2923851013184,297288196.288425,114130267.277378,215419821.973137,0.97,1,0.99,0.903333333333333,0.0398958576192234,0.985,0.87,0.0387281665689846,0.0166486077839045,0.93,0.925,34.4371883869171,29.7288196288425,0.285325668193445,8.07824332399265,0.01,0.04,0.0266666666666667,0.00666666666666667,0.0413506975081659,0.02,0.005,0.0387281665689846,0.0166486077839045,0.99,0.985,0.398155689239502,29.7288196288425,0.285325668193445,8.07824332399265
