"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2"
0.93,1,0.966666666666667,0.923333333333333,0.0217071433683094,0.95,0.92,0.0167296978037435,0.00130525438680715,0.965,0.94,77.6467821598053,8.26981517973952,2.76388267940611,0.85395832980171,1,1,1,1,0.0246016721960977,1,1,0.0188368448489778,0.000992735986207842,0.925,0.92,0.729882717132568,8.26981517973952,2.76388267940611,0.85395832980171,0.93,0.93,0.933333333333333,0.923333333333333,0.0217071433683094,0.935,0.92,0.0167296978037435,0.00130525438680715,0.965,0.945,0.607203245162964,8.26981517973952,2.76388267940611,0.85395832980171,0,0,0.00333333333333333,0.00333333333333333,1.67858107958992,0.005,0.005,0.532400354454599,-0.246076982260974,1,1,61.300931930542,353410905.117074,204732050.326378,237210647.167142,0,0,0,0,1.80425544152122,0,0,0.59888358311965,-0.307391633229606,1,1,49.1939458847046,353410905.117074,204732050.326378,237210647.167142,0.93,1,0.966666666666667,0.886666666666667,0.0232034282686974,0.95,0.865,0.0184371252480786,0.00160972630719468,0.945,0.935,63.8613154888153,22.9717088326098,7.67745188723919,2.37210647167142,0.53,0.61,0.523333333333333,0.39,0.0274959313671663,0.48,0.32,0.0184371252480786,0.00160972630719468,0.985,0.975,0.514778137207031,22.9717088326098,7.67745188723919,2.37210647167142
1,1,0.936666666666667,0.873333333333333,0.0234713457410852,0.905,0.81,0.0268233062233051,-0.00233771503109068,0.96,0.925,76.3407275676727,10.7844881935089,6.0148761990646,5.75918754166299,1,1,1,1,0.0247304660807054,1,1,0.0265469548480947,-0.00436047737569691,0.92,0.915,0.743913173675537,10.7844881935089,6.0148761990646,5.75918754166299,1,1,0.886666666666667,0.873333333333333,0.0234713457410852,0.83,0.81,0.0268233062233051,-0.00233771503109068,0.96,0.955,0.587069034576416,10.7844881935089,6.0148761990646,5.75918754166299,0,0,0,0,1.83011632327066,0,0,0.827325578045835,-0.482921682408853,1,1,59.3306360244751,414788007.44265,300743809.95323,221507213.140884,0,0,0,0,1.96332505014221,0,0,0.941182556518288,-0.586405947123672,1,1,52.6870894432068,414788007.44265,300743809.95323,221507213.140884,1,1,0.983333333333333,0.903333333333333,0.0238365681042476,0.975,0.855,0.0273055145403745,-0.00343450004324457,0.945,0.92,63.1188473701477,26.9612204837722,15.0371904976615,5.53768032852211,0.32,0.6,0.543333333333333,0.386666666666667,0.0291693833751644,0.515,0.42,0.0273055145403745,-0.00343450004324457,0.98,0.98,0.537552118301392,26.9612204837722,15.0371904976615,5.53768032852211
0.91,1,0.983333333333333,0.933333333333333,0.0194221426463019,0.975,0.945,0.0166713147835188,-3.30258657619443e-05,0.94,0.935,78.5403559207916,10.1731343547581,1.81700678975742,0.318360729929414,1,1,1,1,0.0250391819949207,1,1,0.0216316233528158,-0.00130991411384551,0.925,0.92,0.812417507171631,10.1731343547581,1.81700678975742,0.318360729929414,0.91,1,0.966666666666667,0.933333333333333,0.0194221426463019,0.95,0.945,0.0166713147835188,-3.30258657619443e-05,0.94,0.935,0.590657711029053,10.1731343547581,1.81700678975742,0.318360729929414,0,0,0,0,1.70666581177089,0,0,0.541379427960134,-0.248498851079454,1,1,60.355583190918,391274398.259925,181700678.975742,159180364.964707,0,0,0,0,1.82458080604161,0,0,0.605518458264191,-0.317914401066979,1,1,47.8416903018951,391274398.259925,181700678.975742,159180364.964707,0.96,1,0.99,0.96,0.0188168478387131,0.985,0.96,0.0169711578836053,-0.000807080751219725,0.935,0.93,63.7835311889648,25.4328358868951,6.81377546159031,1.59180364964707,0.38,0.49,0.626666666666667,0.496666666666667,0.0261136359982883,0.695,0.555,0.0169711578836053,-0.000807080751219725,0.975,0.975,0.533573389053345,25.4328358868951,6.81377546159031,1.59180364964707
0.98,1,0.96,0.9,0.0213659411532477,0.94,0.86,0.0203754944069268,0.00406245873989184,0.975,0.955,72.9433689117432,9.84046831480267,0.161045901925539,6.56121680072571,1,1,1,1,0.0253032414430715,1,1,0.0213301545243668,0.00314378539759585,0.92,0.915,0.761310338973999,9.84046831480267,0.161045901925539,6.56121680072571,0.98,1,0.913333333333333,0.9,0.0213659411532477,0.87,0.86,0.0203754944069268,0.00406245873989184,0.975,0.975,0.621872663497925,9.84046831480267,0.161045901925539,6.56121680072571,0,0,0,0,1.75535953657819,0,0,0.627324356217676,-0.350022477268734,1,1,78.3725204467773,378479550.569333,61940731.5098227,252354492.335604,0,0,0,0,1.90765585718144,0,0,0.730620594530454,-0.443992059298371,1,1,52.2865738868713,378479550.569333,61940731.5098227,252354492.335604,1,1,0.976666666666667,0.92,0.0217061726451767,0.965,0.88,0.0206205074544825,0.00391581893546488,0.965,0.935,61.6770017147064,24.6011707870067,0.402614754813848,6.3088623083901,0.6,0.79,0.66,0.513333333333333,0.0224994637914265,0.595,0.47,0.0206205074544825,0.00391581893546488,0.995,0.98,0.507267713546753,24.6011707870067,0.402614754813848,6.3088623083901
0.99,1,1,0.94,0.0221654778190302,1,0.915,0.0205047077572061,-6.13187926654198e-05,0.95,0.925,73.2541131973267,7.53455955229861,0.0211587972238162,0.877322557389485,1,1,1,1,0.0219758403802049,1,1,0.0180706577476702,1.4661824474246e-05,0.91,0.905,0.824301719665527,7.53455955229861,0.0211587972238162,0.877322557389485,0.99,1,0.99,0.94,0.0221654778190302,0.985,0.915,0.0205047077572061,-6.13187926654198e-05,0.95,0.925,0.716838121414185,7.53455955229861,0.0211587972238162,0.877322557389485,0,0,0,0,1.73368785912008,0,0,0.670367963697113,-0.381831881552839,1,1,78.9240252971649,376727977.61493,105793986.119081,175464511.477897,0,0,0,0,1.88311437766215,0,0,0.784985851458058,-0.479164249394116,1,1,52.4634323120117,376727977.61493,105793986.119081,175464511.477897,1,1,1,0.983333333333333,0.0218825630906007,1,0.975,0.0206598115433014,0.000415342400188569,0.93,0.925,62.2354819774628,15.0691191045972,0.0423175944476324,1.75464511477897,0.55,0.72,0.683333333333333,0.57,0.0251574282709222,0.665,0.58,0.0206598115433014,0.000415342400188569,0.98,0.98,0.477516889572144,15.0691191045972,0.0423175944476324,1.75464511477897
0.98,1,0.996666666666667,0.963333333333333,0.016732646576499,0.995,0.955,0.0144929444611546,-0.00118311727274835,0.93,0.93,73.1648304462433,11.3588969422894,1.77540236756297,2.36243795864046,1,1,1,1,0.023755540452954,1,1,0.0187576305352135,-0.00321522469870085,0.92,0.915,0.711021184921265,11.3588969422894,1.77540236756297,2.36243795864046,0.98,0.98,0.97,0.963333333333333,0.016732646576499,0.965,0.955,0.0144929444611546,-0.00118311727274835,0.93,0.93,0.595255136489868,11.3588969422894,1.77540236756297,2.36243795864046,0,0,0,0,1.66835960122122,0,0,0.527773249548517,-0.258637989037998,1,1,78.4151055812836,283972423.557235,177540236.756297,236243795.864046,0,0,0.00333333333333333,0.00333333333333333,1.79154588337441,0.005,0.005,0.60113688240843,-0.340814207206181,1,1,51.9919946193695,283972423.557235,177540236.756297,236243795.864046,0.96,1,1,0.97,0.0178474014170279,1,0.975,0.0156754988039184,-0.00234839424924253,0.93,0.925,61.1977732181549,28.3972423557235,4.43850591890743,5.90609489660115,0.77,0.94,0.72,0.563333333333333,0.0170347830856373,0.61,0.46,0.0156754988039184,-0.00234839424924253,0.96,0.945,0.530917882919312,28.3972423557235,4.43850591890743,5.90609489660115
1,1,0.983333333333333,0.973333333333333,0.0154256037619039,0.975,0.96,0.0148623393282902,0.00428964259875113,0.93,0.925,72.8966112136841,13.1898366430754,0.626287204543164,0.260974078022748,1,1,1,1,0.018360092058995,1,1,0.0155316618475867,0.00542931776393809,0.915,0.91,0.761171817779541,13.1898366430754,0.626287204543164,0.260974078022748,1,1,0.973333333333333,0.973333333333333,0.0154256037619039,0.96,0.96,0.0148623393282902,0.00428964259875113,0.93,0.925,0.597612857818604,13.1898366430754,0.626287204543164,0.260974078022748,0,0,0,0,1.83452661194517,0,0,0.723397666731084,-0.397606476756327,1,1,78.6495435237885,366384351.196539,173968667.928657,193314131.868702,0,0,0,0,1.97114056298593,0,0,0.821285984114289,-0.492795610654119,1,1,51.9117872714996,366384351.196539,173968667.928657,193314131.868702,1,1,0.983333333333333,0.956666666666667,0.014907712082207,0.975,0.935,0.0147734278028863,0.00581500563652557,0.925,0.925,61.4950213432312,23.8149828277751,1.73968667928657,1.25654185714656,0.52,0.85,0.746666666666667,0.476666666666667,0.0169808637305865,0.695,0.455,0.0147734278028863,0.00581500563652557,0.98,0.97,0.508592367172241,23.8149828277751,1.73968667928657,1.25654185714656
0.98,1,0.97,0.926666666666667,0.02377721007677,0.955,0.9,0.0220676574591119,0.00305709461535945,0.94,0.935,83.3629040718079,6.90413430115576,5.94825590478521,5.12035332588189,1,1,1,1,0.0231959844191642,1,1,0.0163863972729865,0.00439215381458879,0.925,0.92,0.715419769287109,6.90413430115576,5.94825590478521,5.12035332588189,0.98,1,0.946666666666667,0.926666666666667,0.02377721007677,0.92,0.9,0.0220676574591119,0.00305709461535945,0.94,0.935,0.639885425567627,6.90413430115576,5.94825590478521,5.12035332588189,0,0,0,0,1.72060823087982,0,0,0.596568229728604,-0.307152992122112,1,1,64.9864017963409,345206715.057788,228779073.26097,256017666.294094,0,0,0,0,1.85354638323574,0,0,0.680772940497455,-0.385523635811294,1,1,49.2401661872864,345206715.057788,228779073.26097,256017666.294094,0.95,1,0.976666666666667,0.896666666666667,0.0248745867647747,0.965,0.87,0.0228799457487192,0.00495247723411324,0.93,0.93,67.6238873004913,17.2603357528894,14.870639761963,6.40044165735236,0.59,0.78,0.593333333333333,0.476666666666667,0.0247367543153075,0.5,0.42,0.0228799457487192,0.00495247723411324,0.965,0.96,0.528225183486938,17.2603357528894,14.870639761963,6.40044165735236
1,1,0.956666666666667,0.88,0.0267184515985678,0.935,0.82,0.0297000725601586,0.00304165918153554,0.935,0.93,82.7702827453613,9.55938516966856,3.4224728965671,3.30961748125896,1,1,1,1,0.025773912344575,1,1,0.0278790172875648,0.00302552041979494,0.925,0.92,0.711630582809448,9.55938516966856,3.4224728965671,3.30961748125896,1,1,0.916666666666667,0.88,0.0267184515985678,0.875,0.82,0.0297000725601586,0.00304165918153554,0.935,0.93,0.581567049026489,9.55938516966856,3.4224728965671,3.30961748125896,0,0,0,0,1.72337638185379,0,0,0.63843203440525,-0.335785485259124,1,1,63.7608962059021,408520733.74652,253516510.856822,245156850.463626,0,0,0,0,1.86507833625275,0,0,0.73805694242445,-0.423893643973951,0.995,0.995,55.1047520637512,408520733.74652,253516510.856822,245156850.463626,1,1,0.97,0.913333333333333,0.025270365696264,0.955,0.87,0.0280723693112266,0.00368791650749751,0.93,0.925,66.9037353992462,26.5538476935238,6.33791277142056,6.12892126159066,0.81,0.93,0.656666666666667,0.516666666666667,0.0257606176368751,0.52,0.37,0.0280723693112266,0.00368791650749751,0.975,0.97,0.524718761444092,26.5538476935238,6.33791277142056,6.12892126159066
0.93,1,0.996666666666667,0.953333333333333,0.0193900493436734,0.995,0.965,0.0180683029480061,0.000158554777758068,0.93,0.925,82.9407210350037,9.84412565335022,3.69332220827756,0.802457033202006,1,1,1,1,0.0224774792361419,1,1,0.0179799570486605,0.00082524612501665,0.92,0.915,0.746503114700317,9.84412565335022,3.69332220827756,0.802457033202006,0.93,1,0.986666666666667,0.953333333333333,0.0193900493436734,0.98,0.965,0.0180683029480061,0.000158554777758068,0.93,0.93,0.603240966796875,9.84412565335022,3.69332220827756,0.802457033202006,0,0,0,0,1.824286577802,0,0,0.724271282953731,-0.403155112498417,1,1,66.3462398052216,420689130.485052,273579422.835375,222904731.445002,0,0,0,0,1.9641359856491,0,0,0.832512530742712,-0.501013481627301,1,1,50.5078203678131,420689130.485052,273579422.835375,222904731.445002,0.93,1,1,0.96,0.0192945390113494,1,0.975,0.0172570973074284,0.00149047423492571,0.93,0.925,69.1506834030151,27.3447934815284,6.83948557088437,2.22904731445002,0.73,0.92,0.846666666666667,0.67,0.0183043984465448,0.81,0.64,0.0172570973074284,0.00149047423492571,0.945,0.935,0.516502618789673,27.3447934815284,6.83948557088437,2.22904731445002
