"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2","Li_pCI_int","Li_jCI_int","Li_jCI","Li_pCI","Li_rmse","Li_jCI_slope","Li_pCI_slope","Li_slope_rmse","Li_slope_bias","Li_pSig","Li_jSig","Li_time","Li_lambda0","Li_lambda1","Li_lambda2"
0.93,1,0.983333333333333,0.893333333333333,0.0487549518437542,0.975,0.875,0.0412642940096782,-0.00535318892481284,0.93,0.925,13.5768935680389,1.97003952593314,0.524342301145797,0.23687434339532,1,1,1,1,0.0520756989753454,1,1,0.0443323607652182,-0.005971780412863,0.76,0.75,0.244723320007324,1.97003952593314,0.524342301145797,0.23687434339532,0.93,0.98,0.936666666666667,0.893333333333333,0.0487549518437542,0.915,0.875,0.0412642940096782,-0.00535318892481284,0.93,0.93,0.117657661437988,1.97003952593314,0.524342301145797,0.23687434339532,0.94,1,0.983333333333333,0.893333333333333,0.0494017896305908,0.975,0.87,0.0420696619846112,-0.00454075611466328,0.93,0.925,8.55300188064575,24.6254940741642,6.55427876432247,2.3687434339532,0.95,1,0.97,0.893333333333333,0.0503019879918454,0.955,0.865,0.0429925400316588,-0.00542552028990845,0.93,0.925,8.1765673160553,32.0131422964135,9.8314181464837,5.92185858488299,0.94,1,0.98,0.893333333333333,0.0491598739082391,0.97,0.87,0.0416564414273317,-0.00546356389950116,0.93,0.925,5.28645396232605,1.97003952593314,0.681644991489537,0.23687434339532,0.02,0.05,0.0433333333333333,0.0166666666666667,0.048728021835635,0.04,0.015,0.0416564414273317,-0.00546356389950116,0.995,0.985,0.362762928009033,1.97003952593314,0.681644991489537,0.23687434339532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,1,1,0.93,0.052017259730145,1,0.945,0.0446572818084782,-0.00303658788797041,0.935,0.93,21.9630537033081,1.41193737904314,0.309154121287735,0.203427369717767,1,1,1,1,0.0595783128359096,1,1,0.0460797509103,-0.00262509855838884,0.89,0.855,0.274559736251831,1.41193737904314,0.309154121287735,0.203427369717767,0.9,0.9,0.963333333333333,0.93,0.052017259730145,0.995,0.945,0.0446572818084782,-0.00303658788797041,0.935,0.93,0.136124849319458,1.41193737904314,0.309154121287735,0.203427369717767,0.89,1,1,0.903333333333333,0.0532405638963739,1,0.91,0.0462792780187487,-0.0029376176639791,0.935,0.93,11.8977334499359,39.2204827511983,3.43504579208594,2.26030410797519,0.91,1,1,0.91,0.0542787073729712,1,0.91,0.0466761990453387,-0.0025765045585112,0.935,0.93,12.141303062439,39.2204827511983,5.72507632014323,2.26030410797519,0.91,1,1,0.916666666666667,0.0536597492708593,1,0.92,0.0458239355029169,-0.00259552280004017,0.935,0.93,7.94943809509277,1.56881931004793,0.343504579208594,0.226030410797519,0,0.02,0.03,0.02,0.0798353416899459,0.035,0.03,0.0458239355029169,-0.00259552280004017,0.995,0.99,0.376227378845215,1.56881931004793,0.343504579208594,0.226030410797519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.91,1,0.983333333333333,0.85,0.0512858680931646,0.975,0.82,0.0452989498551157,-0.00154465030095674,0.925,0.92,21.8438587188721,1.9915472713235,0.0328628935332944,0.250799155836956,1,1,1,1,0.0549452451687464,1,1,0.046997663955825,-0.00187351210776466,0.89,0.885,0.264994859695435,1.9915472713235,0.0328628935332944,0.250799155836956,0.91,0.91,0.886666666666667,0.85,0.0512858680931646,0.875,0.82,0.0452989498551157,-0.00154465030095674,0.925,0.92,0.120591402053833,1.9915472713235,0.0328628935332944,0.250799155836956,0.92,1,0.96,0.853333333333333,0.0490660586831265,0.94,0.82,0.043721454050171,-0.00353214125351171,0.935,0.92,11.4094552993774,32.3626431590068,1.64314467666472,6.26997889592389,0.91,1,0.96,0.81,0.0540653955635629,0.94,0.76,0.0485647462892109,-0.00176052043051961,0.94,0.92,12.0669043064117,49.7886817830874,1.06804403983207,6.26997889592389,0.87,1,0.956666666666667,0.82,0.0562609217885091,0.935,0.795,0.0487786537927288,-0.00175971244234461,0.94,0.92,8.09729719161987,4.97886817830874,0.0427217615932827,0.376198733755433,0.05,0.08,0.0433333333333333,0.03,0.0623708033358627,0.025,0.02,0.0487786537927288,-0.00175971244234461,0.99,0.99,0.383845090866089,4.97886817830874,0.0427217615932827,0.376198733755433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.89,0.99,0.996666666666667,0.963333333333333,0.053957791627872,1,1,0.0451677846162264,-0.0022429068693038,0.93,0.93,21.673008441925,0.397859742943527,0.0111130532870923,0.515968279036409,1,1,1,1,0.0542107582705686,1,1,0.0392600778480598,-0.00185971843876484,0.535,0.465,0.270650625228882,0.397859742943527,0.0111130532870923,0.515968279036409,0.89,0.89,0.963333333333333,0.963333333333333,0.053957791627872,1,1,0.0451677846162264,-0.0022429068693038,0.93,0.93,0.123491525650024,0.397859742943527,0.0111130532870923,0.515968279036409,0.89,0.97,0.99,0.963333333333333,0.056401782333328,1,1,0.0463530528130526,-0.000444928598461743,0.93,0.925,11.6423244476318,7.95719485887054,0.222261065741846,4.12774623229127,0.89,0.97,0.99,0.963333333333333,0.0567211469088457,1,1,0.0454590852821319,-0.00178664819301135,0.93,0.925,12.1561048030853,7.95719485887054,0.170970050570651,10.3193655807282,0.91,1,1,0.97,0.0515363976474243,1,1,0.0443095081741741,-0.00179764663697692,0.93,0.925,7.89205455780029,0.994649357358817,0.0111130532870923,0.515968279036409,0.04,0.07,0.0533333333333333,0.0366666666666667,0.0570987360365971,0.045,0.035,0.0443095081741741,-0.00179764663697692,0.985,0.98,0.374628782272339,0.994649357358817,0.0111130532870923,0.515968279036409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,1,0.996666666666667,0.91,0.0532898924647117,0.995,0.915,0.0494490440093471,-0.0122669475272122,0.925,0.925,21.3821539878845,1.99113919571994,0.701449423108946,0.0943800243283505,1,1,1,1,0.0529571623977549,1,1,0.0495265161251487,-0.0119453138047915,0.92,0.91,0.266942024230957,1.99113919571994,0.701449423108946,0.0943800243283505,0.9,0.96,0.96,0.91,0.0532898924647117,0.96,0.915,0.0494490440093471,-0.0122669475272122,0.925,0.925,0.136103868484497,1.99113919571994,0.701449423108946,0.0943800243283505,0.91,1,0.993333333333333,0.903333333333333,0.0539329566580404,0.99,0.9,0.0505090036169302,-0.0125245073724904,0.925,0.925,11.3554377555847,49.7784798929985,2.69788239657287,2.35950060820876,0.85,1,0.99,0.873333333333333,0.0578485094060274,0.985,0.885,0.0519906839448101,-0.011927669861978,0.925,0.925,11.5846362113953,124.446199732496,6.74470599143218,2.35950060820876,0.9,1,0.986666666666667,0.91,0.0543373960787634,0.98,0.915,0.0505990941154826,-0.011894337028526,0.93,0.925,7.96599268913269,3.2356011930449,1.01170589871483,0.235950060820876,0.09,0.09,0.0566666666666667,0.0566666666666667,0.0572363582462414,0.04,0.04,0.0505990941154826,-0.011894337028526,0.995,0.99,0.396548271179199,3.2356011930449,1.01170589871483,0.235950060820876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.89,1,0.99,0.88,0.051265514536995,0.985,0.875,0.0449066185486036,-0.00683630710459538,0.945,0.935,21.5603346824646,3.04631251804579,0.777210291830959,0.273755288053048,1,1,1,0.983333333333333,0.0538043174672934,1,0.975,0.0433974131795124,-0.00502054650115139,0.925,0.92,0.265850305557251,3.04631251804579,0.777210291830959,0.273755288053048,0.89,0.89,0.913333333333333,0.88,0.051265514536995,0.925,0.875,0.0449066185486036,-0.00683630710459538,0.945,0.935,0.12455153465271,3.04631251804579,0.777210291830959,0.273755288053048,0.87,1,0.986666666666667,0.886666666666667,0.0519354395725595,0.98,0.895,0.0435422286132388,-0.0073972478628147,0.94,0.935,11.5665326118469,30.4631251804579,7.77210291830959,6.84388220132619,0.88,1,0.99,0.886666666666667,0.0510976906604539,0.985,0.89,0.0435032783281371,-0.00513456604746721,0.94,0.935,11.9079914093018,46.8663464314736,7.77210291830959,6.84388220132619,0.89,1,0.976666666666667,0.876666666666667,0.0517781915270552,0.965,0.87,0.045753114385082,-0.00515780790924672,0.945,0.935,7.85058379173279,4.68663464314736,1.16581543774644,0.684388220132619,0.04,0.05,0.0266666666666667,0.0233333333333333,0.0725624696829661,0.015,0.015,0.045753114385082,-0.00515780790924672,1,1,0.379992723464966,4.68663464314736,1.16581543774644,0.684388220132619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.97,1,0.97,0.913333333333333,0.0555888702331943,0.955,0.885,0.0528339287924563,0.00294499379203777,0.935,0.93,21.4653272628784,2.32317401764565,0.618561409074469,0.556745790907329,1,1,0.986666666666667,0.976666666666667,0.0635389321171748,0.98,0.965,0.0591407307252698,0.0031010495176051,0.915,0.915,0.269106149673462,2.32317401764565,0.618561409074469,0.556745790907329,0.97,1,0.946666666666667,0.913333333333333,0.0555888702331943,0.92,0.885,0.0528339287924563,0.00294499379203777,0.935,0.93,0.127450942993164,2.32317401764565,0.618561409074469,0.556745790907329,0.92,1,0.963333333333333,0.88,0.060338536751772,0.945,0.86,0.0584520632823694,0.00353598642198246,0.94,0.93,11.4959988594055,30.2012622293934,6.18561409074469,8.35118686360994,0.93,1,0.963333333333333,0.883333333333333,0.0598275062748592,0.945,0.86,0.0583100494412801,0.00251844153035445,0.935,0.93,11.9781837463379,46.4634803529129,9.27842113611703,8.35118686360994,0.97,1,0.973333333333333,0.913333333333333,0.0560204994209143,0.96,0.885,0.0537513096715293,0.00249303783583817,0.935,0.93,8.12932682037354,3.02012622293934,0.927842113611703,0.556745790907329,0.05,0.05,0.0533333333333333,0.0433333333333333,0.0555979916873319,0.055,0.04,0.0537513096715293,0.00249303783583817,1,1,0.386459112167358,3.02012622293934,0.927842113611703,0.556745790907329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.83,0.92,0.943333333333333,0.813333333333333,0.0666422641715577,0.955,0.805,0.0557661593083801,-0.00796274059833848,0.935,0.93,21.1076271533966,1.93453692779373,0.253477744973341,0.230053043766937,1,1,1,0.98,0.0706722332363899,1,0.97,0.0587981612308651,-0.0080284777206046,0.91,0.905,0.255545139312744,1.93453692779373,0.253477744973341,0.230053043766937,0.83,0.86,0.883333333333333,0.813333333333333,0.0666422641715577,0.895,0.805,0.0557661593083801,-0.00796274059833848,0.935,0.935,0.125663042068481,1.93453692779373,0.253477744973341,0.230053043766937,0.66,0.87,0.926666666666667,0.71,0.0725263991592861,0.955,0.735,0.0618917902897906,-0.00758526716690085,0.94,0.93,11.3642270565033,120.908557987108,2.53477744973341,2.30053043766937,0.67,0.9,0.926666666666667,0.736666666666667,0.0715490071707504,0.94,0.77,0.0610990677401929,-0.00789761923367815,0.94,0.93,11.4851291179657,120.908557987108,2.53477744973341,5.75132609417343,0.75,0.91,0.94,0.786666666666667,0.0682760833380541,0.955,0.805,0.0579663868807694,-0.00791260009124317,0.935,0.93,7.76451253890991,3.1436225076648,0.253477744973341,0.230053043766937,0.04,0.05,0.04,0.0333333333333333,0.0685241542691559,0.035,0.03,0.0579663868807694,-0.00791260009124317,1,0.995,0.391632556915283,3.1436225076648,0.253477744973341,0.230053043766937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1,0.976666666666667,0.923333333333333,0.0486437623357819,0.965,0.91,0.0435754054363621,0.00577590763723249,0.925,0.925,21.5372054576874,1.73687312239283,0.333677655482047,0.278883114997204,1,1,1,0.996666666666667,0.05373341831158,1,0.995,0.0421020384300499,0.00620721909190244,0.925,0.92,0.280258417129517,1.73687312239283,0.333677655482047,0.278883114997204,0.95,1,0.946666666666667,0.923333333333333,0.0486437623357819,0.92,0.91,0.0435754054363621,0.00577590763723249,0.925,0.925,0.123438835144043,1.73687312239283,0.333677655482047,0.278883114997204,0.91,1,0.98,0.91,0.0515258385561544,0.97,0.91,0.0438697750888101,0.00539512271718492,0.925,0.925,11.4445962905884,17.3687312239283,3.33677655482047,5.57766229994407,0.92,1,0.983333333333333,0.916666666666667,0.0491158870095366,0.975,0.915,0.042375136395483,0.00562068957501796,0.93,0.925,12.099634885788,43.4218280598207,3.33677655482047,7.25096098992729,0.92,1,0.98,0.913333333333333,0.0495918053087999,0.97,0.91,0.043248833624224,0.00561920699194762,0.93,0.925,7.88254570960999,1.73687312239283,0.333677655482047,0.418324672495805,0.04,0.05,0.0433333333333333,0.03,0.0495326972037886,0.04,0.025,0.043248833624224,0.00561920699194762,0.99,0.99,0.387093782424927,1.73687312239283,0.333677655482047,0.418324672495805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1,1,0.953333333333333,0.0504869106476028,1,0.955,0.0478359714811216,-0.0133582169540654,0.93,0.925,26.0163021087646,2.49786912801039,1.1522428646563,0.262489832008486,1,1,1,1,0.0498879499327601,1,1,0.0467516541666642,-0.0145334828291521,0.92,0.91,0.314527273178101,2.49786912801039,1.1522428646563,0.262489832008486,0.95,0.95,0.973333333333333,0.953333333333333,0.0504869106476028,0.985,0.955,0.0478359714811216,-0.0133582169540654,0.93,0.925,0.142817497253418,2.49786912801039,1.1522428646563,0.262489832008486,0.95,1,1,0.953333333333333,0.0485489483066694,1,0.955,0.0449677220921075,-0.0125606013050583,0.93,0.925,15.5587995052338,49.9573825602077,7.6816190977087,9.84336870031822,0.96,1,1,0.956666666666667,0.0483904902368239,1,0.955,0.0460020675676979,-0.0139247855621995,0.93,0.925,17.2150967121124,49.9573825602077,7.6816190977087,9.84336870031822,0.95,1,1,0.946666666666667,0.0506023733815465,1,0.945,0.0491785176587382,-0.0139224929604671,0.93,0.925,11.3304605484009,3.2472298664135,1.53632381954174,0.656224580021215,0.03,0.04,0.0433333333333333,0.0366666666666667,0.0559610461117899,0.045,0.04,0.0491785176587382,-0.0139224929604671,0.995,0.995,0.442412853240967,3.2472298664135,1.53632381954174,0.656224580021215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
