"fGEE_pCI_int","fGEE_jCI_int","fGEE_jCI","fGEE_pCI","fGEE_rmse","fGEE_jCI_slope","fGEE_pCI_slope","fGEE_slope_rmse","fGEE_slope_bias","fGEE_pSig","fGEE_jSig","fGEE_time","fGEE_lambda0","fGEE_lambda1","fGEE_lambda2","pffr_pCI_int","pffr_jCI_int","pffr_jCI","pffr_pCI","pffr_rmse","pffr_jCI_slope","pffr_pCI_slope","pffr_slope_rmse","pffr_slope_bias","pffr_pSig","pffr_jSig","pffr_time","pffr_lambda0","pffr_lambda1","pffr_lambda2","robust_pCI_int","robust_jCI_int","robust_jCI","robust_pCI","robust_rmse","robust_jCI_slope","robust_pCI_slope","robust_slope_rmse","robust_slope_bias","robust_pSig","robust_jSig","robust_time","robust_lambda0","robust_lambda1","robust_lambda2","exact_pCI_int","exact_jCI_int","exact_jCI","exact_pCI","exact_rmse","exact_jCI_slope","exact_pCI_slope","exact_slope_rmse","exact_slope_bias","exact_pSig","exact_jSig","exact_time","exact_lambda0","exact_lambda1","exact_lambda2","unwght_pCI_int","unwght_jCI_int","unwght_jCI","unwght_pCI","unwght_rmse","unwght_jCI_slope","unwght_pCI_slope","unwght_slope_rmse","unwght_slope_bias","unwght_pSig","unwght_jSig","unwght_time","unwght_lambda0","unwght_lambda1","unwght_lambda2","ar1_pCI_int","ar1_jCI_int","ar1_jCI","ar1_pCI","ar1_rmse","ar1_jCI_slope","ar1_pCI_slope","ar1_slope_rmse","ar1_slope_bias","ar1_pSig","ar1_jSig","ar1_time","ar1_lambda0","ar1_lambda1","ar1_lambda2","comb_pCI_int","comb_jCI_int","comb_jCI","comb_pCI","comb_rmse","comb_jCI_slope","comb_pCI_slope","comb_slope_rmse","comb_slope_bias","comb_pSig","comb_jSig","comb_time","comb_lambda0","comb_lambda1","comb_lambda2","Li_pCI_int","Li_jCI_int","Li_jCI","Li_pCI","Li_rmse","Li_jCI_slope","Li_pCI_slope","Li_slope_rmse","Li_slope_bias","Li_pSig","Li_jSig","Li_time","Li_lambda0","Li_lambda1","Li_lambda2"
1,1,0.903333333333333,0.856666666666667,0.0148248496860695,0.855,0.785,0.0151441946487824,0.00342461950855258,0.96,0.95,50.8370060920715,2.97414832306668,0.025190641299321,0.126763367461155,1,1,0.923333333333333,0.856666666666667,0.0154138157096079,0.885,0.785,0.0153542114177727,0.00326671288072053,0.955,0.935,0.785062551498413,2.97414832306668,0.025190641299321,0.126763367461155,1,1,0.863333333333333,0.856666666666667,0.0148248496860695,0.795,0.785,0.0151441946487824,0.00342461950855258,0.96,0.955,0.506897926330566,2.97414832306668,0.025190641299321,0.126763367461155,1,1,1,1,0.0148842569719739,1,1,0.0153251347323021,0.00345008071221555,0.9,0.89,41.2574243545532,167.295843172501,0,9.50725255958661,1,1,1,1,0.0150675981794301,1,1,0.0153574274421136,0.0032916726154174,0.895,0.885,36.3086519241333,223.061124230001,0,9.50725255958661,1,1,0.903333333333333,0.86,0.0149319491123797,0.855,0.79,0.0151766236185256,0.00329706125858746,0.96,0.94,23.6317064762115,3.71768540383336,0.0629766032483024,0.158454209326444,0.95,1,0.856666666666667,0.8,0.0152287140737443,0.785,0.725,0.0151766236185256,0.00329706125858746,0.98,0.955,0.899788618087769,3.71768540383336,0.0629766032483024,0.158454209326444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0.92,0.87,0.0151260308793673,0.88,0.805,0.0163162727127257,0.0073024230535933,0.94,0.94,50.4664149284363,2.20259983396907,0.107637259605939,0.14414023484493,1,1,0.936666666666667,0.91,0.0154655922803503,0.905,0.865,0.0160857658019593,0.00754748152658076,0.94,0.94,0.778213262557983,2.20259983396907,0.107637259605939,0.14414023484493,1,1,0.88,0.87,0.0151260308793673,0.82,0.805,0.0163162727127257,0.0073024230535933,0.94,0.94,0.506841659545898,2.20259983396907,0.107637259605939,0.14414023484493,1,1,1,1,0.0152024110149813,1,1,0.0159123946275852,0.00733418467205447,0.91,0.85,41.4253249168396,29.3679977862542,1.43516346141252,5.40525880668488,1,1,1,1,0.0152972142748392,1,1,0.0160399861191662,0.00756940116738778,0.9,0.85,36.4694693088531,44.0519966793813,0.807279447044544,5.40525880668488,1,1,0.926666666666667,0.883333333333333,0.0151633813345846,0.89,0.825,0.0162984872355748,0.00756545312137435,0.94,0.94,23.6971564292908,3.67099972328178,0.0717581730706261,0.180175293556163,0.88,1,0.876666666666667,0.746666666666667,0.0163493861274445,0.815,0.68,0.0162984872355748,0.00756545312137435,0.95,0.94,0.868511199951172,3.67099972328178,0.0717581730706261,0.180175293556163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.99,1,0.936666666666667,0.91,0.0154592473867653,0.905,0.87,0.0156450207156428,-0.000173480535257646,0.96,0.95,50.70956158638,2.79873695634576,0.0663175046879487,0.137627383846092,1,1,0.943333333333333,0.916666666666667,0.0170355971955025,0.915,0.875,0.0157746488284254,5.21202547796717e-05,0.96,0.95,0.772355556488037,2.79873695634576,0.0663175046879487,0.137627383846092,0.99,1,0.926666666666667,0.91,0.0154592473867653,0.89,0.87,0.0156450207156428,-0.000173480535257646,0.96,0.955,0.503002882003784,2.79873695634576,0.0663175046879487,0.137627383846092,1,1,1,1,0.0164557340067447,1,1,0.015626848281232,-0.000164595986790278,0.915,0.9,41.0692806243896,69.9684239086441,0,8.94577994999601,1,1,1,1,0.0165523220966367,1,1,0.0158795975569551,-0.000114077947581088,0.91,0.895,36.1866762638092,104.952635862966,1.32635009375897,5.16102689422847,0.99,1,0.94,0.906666666666667,0.0157823585418364,0.91,0.865,0.0159377886490412,-0.000106753302484439,0.96,0.95,23.4963438510895,3.63835804324949,0.0663175046879487,0.17891559899992,0.92,1,0.913333333333333,0.766666666666667,0.0161823926306372,0.87,0.69,0.0159377886490412,-0.000106753302484439,0.965,0.96,0.898074150085449,3.63835804324949,0.0663175046879487,0.17891559899992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.98,1,0.906666666666667,0.856666666666667,0.0153235511529842,0.86,0.795,0.0152520229151874,-0.00390267413275716,0.945,0.945,52.4795572757721,1.43525379313258,0.0636808340626054,0.178564329978304,1,1,0.926666666666667,0.903333333333333,0.0163012532742944,0.89,0.855,0.0154320124500932,-0.00404661084771719,0.945,0.945,0.760746955871582,1.43525379313258,0.0636808340626054,0.178564329978304,0.98,0.98,0.89,0.856666666666667,0.0153235511529842,0.845,0.795,0.0152520229151874,-0.00390267413275716,0.945,0.945,0.496097326278687,1.43525379313258,0.0636808340626054,0.178564329978304,1,1,1,1,0.0159700496347247,1,1,0.0152690524554572,-0.00381990551374532,0.905,0.895,42.3724362850189,28.7050758626515,0.82785084281387,8.9282164989152,1,1,1,1,0.0162109889839501,1,1,0.0155690827400326,-0.00419188172343158,0.895,0.89,38.0531582832336,43.0576137939773,0,5.15089413398954,0.98,1,0.913333333333333,0.843333333333333,0.0154964913556306,0.87,0.775,0.0154661396545396,-0.00418494443575651,0.95,0.945,25.0748701095581,2.15288068969886,0.0636808340626054,0.178564329978304,0.93,1,0.846666666666667,0.77,0.0159255306894644,0.77,0.69,0.0154661396545396,-0.00418494443575651,0.955,0.95,0.761042356491089,2.15288068969886,0.0636808340626054,0.178564329978304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92,0.96,0.853333333333333,0.74,0.0199345775135868,0.8,0.65,0.0205493831628582,-0.00351441728523733,0.955,0.94,52.9580698013306,2.94397023517761,0.685234186058339,0.136012930491641,0.99,1,0.916666666666667,0.846666666666667,0.0191353602874391,0.875,0.775,0.0195239149603072,-0.00364441121631326,0.955,0.94,0.762627601623535,2.94397023517761,0.685234186058339,0.136012930491641,0.92,0.93,0.813333333333333,0.74,0.0199345775135868,0.755,0.65,0.0205493831628582,-0.00351441728523733,0.955,0.94,0.517617225646973,2.94397023517761,0.685234186058339,0.136012930491641,1,1,1,1,0.0191973728216279,1,1,0.0197713704111918,-0.00359205489604169,0.915,0.9,42.8521301746368,58.8794047035521,13.7046837211668,13.6012930491641,1,1,1,1,0.0193056189314248,1,1,0.0198266937143981,-0.00364954520408934,0.905,0.895,38.3586468696594,58.8794047035521,18.2729116282224,13.6012930491641,0.94,0.97,0.856666666666667,0.753333333333333,0.0198689154354367,0.8,0.66,0.020561582400911,-0.0036520871842059,0.955,0.94,25.0452432632446,2.94397023517761,0.913645581411119,0.136012930491641,0.88,0.95,0.773333333333333,0.68,0.0207430048556003,0.685,0.58,0.020561582400911,-0.0036520871842059,0.97,0.955,0.742251873016357,2.94397023517761,0.913645581411119,0.136012930491641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.86,0.94,0.923333333333333,0.85,0.0180591302226704,0.915,0.845,0.0160089769797666,-0.00140207873462546,0.945,0.94,52.6375694274902,2.27114194950895,0.0646944583668659,0.173980611511441,1,1,0.946666666666667,0.906666666666667,0.0186006010629855,0.92,0.86,0.0163338616904506,-0.00134192230573841,0.945,0.94,0.784514904022217,2.27114194950895,0.0646944583668659,0.173980611511441,0.86,0.88,0.886666666666667,0.85,0.0180591302226704,0.89,0.845,0.0160089769797666,-0.00140207873462546,0.945,0.945,0.492826223373413,2.27114194950895,0.0646944583668659,0.173980611511441,1,1,1,1,0.0183598532152747,1,1,0.0162310265519736,-0.00155080691768157,0.905,0.895,42.9579145908356,45.4228389901789,1.94083375100598,7.52800722886044,1,1,1,1,0.0185564869581943,1,1,0.0164526352588697,-0.00138966866580568,0.9,0.89,38.0454182624817,54.5074067882147,2.32900050120717,2.40896231323534,0.86,0.94,0.926666666666667,0.85,0.0183447022804543,0.92,0.845,0.0163507131224814,-0.00139594291251919,0.95,0.94,25.0685625076294,3.02818926601193,0.0970416875502988,0.133831239624186,0.74,0.88,0.863333333333333,0.71,0.0183667531010507,0.855,0.695,0.0163507131224814,-0.00139594291251919,0.95,0.945,0.752974033355713,3.02818926601193,0.0970416875502988,0.133831239624186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.96,1,0.926666666666667,0.873333333333333,0.0149982162222516,0.89,0.83,0.0149403977984489,0.0006313809743361,0.96,0.94,53.2291522026062,2.21064598246289,0.0246922613446168,0.103644245461359,1,1,0.94,0.893333333333333,0.0156001694314488,0.91,0.84,0.0147818510767056,0.000143706374162393,0.955,0.94,0.752538204193115,2.21064598246289,0.0246922613446168,0.103644245461359,0.96,0.96,0.886666666666667,0.873333333333333,0.0149982162222516,0.85,0.83,0.0149403977984489,0.0006313809743361,0.96,0.94,0.493688821792603,2.21064598246289,0.0246922613446168,0.103644245461359,1,1,1,1,0.0152061370431183,1,1,0.0149546718579065,0.000620963184630979,0.9,0.89,42.6354019641876,110.532299123145,0,5.18221227306795,1,1,1,1,0.0152529966079581,1,1,0.0149799547364563,0.000212196126932959,0.895,0.89,38.5352737903595,132.638758947774,0,9.32798209152232,0.96,1,0.93,0.876666666666667,0.0150523271714245,0.895,0.835,0.0149749359555735,0.000208872383638449,0.955,0.94,24.9992372989655,2.94752797661719,0.061730653361542,0.179650025466356,0.94,1,0.886666666666667,0.796666666666667,0.0149597124305787,0.83,0.725,0.0149749359555735,0.000208872383638449,0.965,0.95,0.756284952163696,2.94752797661719,0.061730653361542,0.179650025466356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92,1,0.9,0.786666666666667,0.0168492995310646,0.85,0.72,0.0170829479477967,-0.00400683767939368,0.99,0.96,54.1261425018311,2.23836332732894,0.0649350998414863,0.133810038888527,1,1,0.926666666666667,0.866666666666667,0.0172940783853584,0.89,0.8,0.0170078409444854,-0.00402194778843103,0.985,0.955,0.807443618774414,2.23836332732894,0.0649350998414863,0.133810038888527,0.92,0.92,0.85,0.786666666666667,0.0168492995310646,0.815,0.72,0.0170829479477967,-0.00400683767939368,0.99,0.96,0.555011749267578,2.23836332732894,0.0649350998414863,0.133810038888527,1,1,1,1,0.0170988198483808,1,1,0.0171264362582784,-0.00399868060488998,0.905,0.895,44.2835688591003,134.301799639736,0,6.0214517499837,1,1,1,1,0.0170222894412611,1,1,0.0170903268095082,-0.00391024543749937,0.895,0.885,41.8095164299011,149.224221821929,0.259740399365945,2.67620077777053,0.93,1,0.906666666666667,0.816666666666667,0.0167087711082974,0.86,0.76,0.0170612886802486,-0.0039076970700823,0.985,0.955,29.0150969028473,3.73060554554823,0.0649350998414863,0.167262548610658,0.91,1,0.843333333333333,0.72,0.0165803541920263,0.765,0.625,0.0170612886802486,-0.0039076970700823,0.99,0.985,0.808324813842773,3.73060554554823,0.0649350998414863,0.167262548610658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,1,0.92,0.806666666666667,0.0192557305992674,0.88,0.76,0.0180161490862859,0.00329306453311739,0.96,0.945,54.1488740444183,1.43114458190811,0.201565789667226,0.0670126504295852,1,1,0.94,0.87,0.0197820328152884,0.91,0.805,0.017532869684418,0.00339185139301884,0.945,0.94,0.829072952270508,1.43114458190811,0.201565789667226,0.0670126504295852,0.9,0.97,0.856666666666667,0.806666666666667,0.0192557305992674,0.8,0.76,0.0180161490862859,0.00329306453311739,0.96,0.945,0.555923223495483,1.43114458190811,0.201565789667226,0.0670126504295852,1,1,1,1,0.0188428524166619,1,1,0.0176801631666361,0.00319937083529182,0.905,0.895,44.2146821022034,214.671687286217,8.06263158668903,2.68050601718341,1,1,1,1,0.0190651434090253,1,1,0.0175564826113543,0.00332473211906387,0.9,0.89,41.9126486778259,214.671687286217,3.22505263467561,2.68050601718341,0.9,1,0.91,0.816666666666667,0.0191646496097358,0.865,0.775,0.0180975906430967,0.00332649972775738,0.96,0.945,29.1373193264008,3.57786145477028,0.201565789667226,0.167531626073963,0.6,0.93,0.81,0.596666666666667,0.0208723500206047,0.75,0.595,0.0180975906430967,0.00332649972775738,0.99,0.95,0.787216186523438,3.57786145477028,0.201565789667226,0.167531626073963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.87,1,0.9,0.77,0.0184405913263013,0.85,0.72,0.0188003286661255,-0.00629778611902093,0.985,0.96,54.4841721057892,3.6268998242198,0.0801031642078644,0.0068235515893257,1,1,0.91,0.866666666666667,0.0178810049366657,0.865,0.8,0.0186305337959919,-0.00610946600707567,0.975,0.945,0.841219902038574,3.6268998242198,0.0801031642078644,0.0068235515893257,0.87,0.89,0.833333333333333,0.77,0.0184405913263013,0.805,0.72,0.0188003286661255,-0.00629778611902093,0.985,0.96,0.53927206993103,3.6268998242198,0.0801031642078644,0.0068235515893257,1,1,1,1,0.0181797658648716,1,1,0.0188007426148743,-0.00635558201414587,0.905,0.895,44.551775932312,217.613989453188,2.40309492623593,0,1,1,1,1,0.0179904950043759,1,1,0.0186454460519303,-0.00616036220897049,0.9,0.895,42.0494050979614,290.151985937584,3.20412656831458,1.77412341322468,0.93,1,0.9,0.796666666666667,0.0181919547568756,0.85,0.73,0.0187999246742965,-0.00616183131664928,0.985,0.965,29.3631372451782,3.6268998242198,0.0801031642078644,0.068235515893257,0.76,0.97,0.786666666666667,0.61,0.0194105789260248,0.695,0.535,0.0187999246742965,-0.00616183131664928,0.99,0.985,0.764492034912109,3.6268998242198,0.0801031642078644,0.068235515893257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
